,x_count,x_mean,x_std,x_min,x_25%,x_50%,x_75%,x_max,x_median,x_variance,x_covariance,x_kurtosis,x_skewness,y_count,y_mean,y_std,y_min,y_25%,y_50%,y_75%,y_max,y_median,y_variance,y_covariance,y_kurtosis,y_skewness
A00000_close_2021Y02M15D19H20m,6000.0,-17.336608333333324,6.9905153456234395,-30.4,-23.3,-17.8,-11.0,0.0,-17.8,48.8673047973968,-4.5131444883869625,-1.0461521125728865,0.18666539021652426,6000.0,-13.89251666666667,7.534535245783266,-32.5,-18.3,-15.2,-10.8,5.5,-15.2,56.76922136995053,-4.5131444883869625,-0.004853176728804698,0.5922425646890493
A00000_close_2021Y02M16D10H37m,6000.0,-2.396674999999997,9.921057937176212,-31.1,-8.3,-2.5,3.1,26.8,-2.5,98.42739059280713,12.014882037631246,0.2750076378131836,0.2241550671975805,6000.0,-15.586458333333379,10.857690106356461,-43.6,-23.7,-16.4,-7.3,12.5,-16.4,117.88943444567148,12.014882037631246,-0.6077716496908887,0.05726600412458601
A00000_close_2021Y02M16D18H34m,6000.0,-3.0719083333333503,5.330588035392079,-16.3,-6.0,-3.3,-1.5,15.9,-3.3,28.415168803064404,-19.27122058106906,2.4378851304294695,1.0969363512265593,6000.0,-22.15351666666676,8.403416003813245,-54.9,-27.5,-20.3,-16.5,-7.8,-20.3,70.61740053314443,-19.27122058106906,1.1771728677317475,-1.0602120506423778
A00000_close_2021Y02M17D18H11m,6000.0,-7.053400000000008,7.253453295094482,-25.9,-11.5,-6.8,-2.0,13.8,-6.8,52.612584704117374,5.5434091648608135,0.15913913458132845,-0.05226524865426572,6000.0,-13.801883333333318,9.146396469709757,-45.4,-18.6,-13.7,-8.2,9.3,-13.7,83.65656838111911,5.5434091648608135,0.6508806564556697,-0.30218181123722637
A00000_close_2021Y02M18D10H31m,6000.0,-12.31091666666664,6.399373887921818,-36.3,-15.5,-12.0,-9.0,8.4,-12.0,40.95198615741512,17.981323919958896,1.8158194502685712,-0.26887193396352616,6000.0,-27.44569166666666,10.695693401138294,-68.9,-31.3,-27.4,-21.8,4.1,-27.4,114.39785733115244,17.981323919958896,2.186849902537057,-0.5707284869839577
A00000_close_2021Y02M18D18H08m,6000.0,-9.195791666666667,4.937371760951421,-24.1,-12.0,-10.0,-7.3,11.6,-10.0,24.377639905840788,-1.5503790899177616,1.8100905919462527,0.7693995303384044,6000.0,-5.344191666666661,7.587296918249951,-39.9,-9.3,-5.5,-0.07499999999999993,9.7,-5.5,57.56707452568483,-1.5503790899177616,3.1881383852014027,-1.085011280730714
A00000_close_2021Y02M25D18H21m,6000.0,-0.775441666666671,8.186778132714712,-23.5,-6.1,-0.7,5.4,19.6,-0.7,67.02333619429628,21.65599822380118,-0.1840699591917776,-0.2323104722898214,6000.0,-16.26367500000003,10.567529357779593,-36.6,-23.9,-16.7,-9.5,9.0,-16.7,111.67267672753329,21.65599822380118,-0.7060809183641079,0.28379394650655765
A00000_close_2021Y02M26D18H20m,6000.0,-6.336966666666666,7.698908732075772,-30.1,-11.3,-5.4,-0.8,10.1,-5.4,59.273195664833025,1.8869225962660454,0.12076698009906917,-0.5238518563220012,6000.0,-17.668524999999995,7.367187657673211,-42.4,-21.825000000000003,-17.8,-13.3,0.7,-17.8,54.27545398337224,1.8869225962660454,0.7144449591744917,-0.298026355604949
A00000_open_2021Y02M15D19H19m,6000.0,1.6591250000000008,6.04546221722906,-12.0,-3.1,0.7,6.8,16.6,0.7,36.54761341994499,10.243435011043507,-0.9176194541321951,0.14696858794606205,6000.0,-7.004641666666636,4.699979131751934,-20.6,-10.2,-7.7,-4.3,4.9,-7.7,22.089803838903705,10.243435011043507,-0.19777264379484683,0.3897283557763552
A00000_open_2021Y02M16D10H36m,6000.0,-19.989733333333252,5.258224216964789,-39.3,-22.7,-19.8,-16.7,1.2,-19.8,27.648921915874883,-1.4535508340278913,1.3291652542916097,-0.1010284014412412,6000.0,6.515283333333361,6.108335906582642,-15.8,2.475,7.2,10.6,18.9,7.2,37.311767547646824,-1.4535508340278913,0.8796934711793862,-0.6474358073387999
A00000_open_2021Y02M16D18H32m,6000.0,-16.05100833333326,3.9351784590851904,-24.2,-18.9,-16.7,-14.4,0.1,-16.7,15.485629504848033,1.1289046337584068,1.3915795244296953,1.0373177407579255,6000.0,-16.827041666666663,5.2835943630413595,-35.8,-19.3,-16.4,-13.2,-4.8,-16.4,27.91636939316276,1.1289046337584068,1.8646225405679822,-1.0071710908876255
A00000_open_2021Y02M17D18H13m,6000.0,-6.225291666666669,6.332831768487551,-23.2,-10.8,-6.6,-1.9,11.8,-6.6,40.104758207965226,0.9641620957659639,-0.291971510801758,0.13871803697369497,6000.0,-10.26804999999996,9.032180850307011,-42.8,-15.8,-8.9,-4.1,11.1,-8.9,81.58029091265212,0.9641620957659639,1.301966789407074,-0.8450052716769616
A00000_open_2021Y02M18D10H30m,6000.0,-1.0950999999999982,5.354677838344577,-13.8,-5.4,-1.0,2.9,14.5,-1.0,28.67257475245874,-0.5450060651775298,-0.43458544272312816,0.2347699201195975,6000.0,-4.080225000000008,4.140987180433335,-14.2,-7.0,-4.3,-1.6,11.0,-4.3,17.14777482851309,-0.5450060651775298,0.22109074431706421,0.4180412145705773
A00000_open_2021Y02M18D18H06m,6000.0,-8.988133333333359,4.90963874701376,-20.6,-12.4,-10.0,-5.3,6.4,-10.0,24.10455262617844,13.149408116167509,-0.2770577812506678,0.3761872363493289,6000.0,-8.426375,6.783888017364905,-28.8,-12.1,-8.2,-2.8,3.5,-8.2,46.02113663214703,13.149408116167509,0.4159910784000127,-0.6894930264194877
A00000_open_2021Y02M25D18H22m,6000.0,0.23543333333333083,4.5147538874802615,-12.8,-2.925,0.0,3.0,14.6,0.0,20.38300266451815,7.1462488563834725,0.0016352730929707349,0.2368125111456496,6000.0,-16.294241666666704,5.52623523216974,-28.9,-20.2,-16.5,-12.5,2.4,-16.5,30.539275841274474,7.1462488563834725,0.18487697411806936,0.35238800859971736
A00000_open_2021Y02M26D18H19m,6000.0,-6.915433333333324,5.687791338232537,-19.6,-10.7,-7.4,-3.3,9.2,-7.4,32.35097030727344,8.262058751180758,-0.376451841227448,0.2577895709090488,6000.0,-14.397808333333376,6.353877627618302,-34.1,-18.3,-14.9,-10.1,-2.0,-14.9,40.37176090674835,8.262058751180758,0.005014725437422207,-0.24107084533172266
A00001_close_2021Y02M15D18H21m,6000.0,-11.267316666666702,4.744121845161216,-24.3,-14.9,-11.4,-8.0,1.5,-11.4,22.506692081735835,1.621590724704119,-0.20646516633296885,0.14440768032031695,6000.0,-12.175575000000007,5.453133574408251,-24.9,-15.9,-13.6,-7.8,1.2,-13.6,29.736665780338384,1.621590724704119,-0.5983681241896872,0.3982091059129827
A00001_close_2021Y02M16D18H16m,6000.0,6.787083333333338,7.116036723919099,-6.4,0.9,5.6,11.7,26.8,5.6,50.63797865616491,-11.01422851378008,-0.39458254438503104,0.6498432604464639,6000.0,-28.76199166666674,4.428504475769741,-39.7,-31.9,-29.1,-25.8,-16.2,-29.1,19.611651891912548,-11.01422851378008,-0.5172037286669711,0.15533664318318266
A00001_close_2021Y02M18D18H11m,6000.0,-5.856183333333336,5.582710214424659,-20.6,-9.9,-6.4,-2.2,11.8,-6.4,31.166653338241566,17.547756707969846,-0.14223073029348354,0.33401004854415717,6000.0,-37.18053333333323,8.794277032606805,-54.1,-45.0,-36.4,-30.8,-13.1,-36.4,77.33930852623588,17.547756707969846,-0.7862862530287611,0.19286295980986834
A00001_close_2021Y02M19D18H06m,6000.0,-1.242391666666665,4.666755939850974,-12.1,-3.9,-1.8,0.5,15.1,-1.8,21.778611002134625,9.614500558982055,1.4085520498394954,0.8967554018545603,6000.0,-38.294133333333384,9.049012057813933,-56.5,-45.5,-40.6,-31.2,-15.5,-40.6,81.88461922246297,9.614500558982055,-0.6675410944248341,0.4975213420131541
A00001_close_2021Y02M23D17H54m,6000.0,9.15286666666666,5.5658282007130335,-12.8,5.6,9.6,13.0,22.2,9.6,30.978443559852565,2.8508190865144183,0.6001897572276622,-0.4742869958394742,6000.0,-9.125166666666606,6.618436219830368,-29.4,-12.9,-8.4,-4.5,4.0,-8.4,43.8036979959623,2.8508190865144183,-0.021851291751874058,-0.5442276185241867
A00001_close_2021Y02M26D20H18m,6000.0,-12.52690833333338,4.092111690551138,-25.6,-15.1,-13.1,-10.9,1.4,-13.1,16.745378087945216,-7.23289224516586,0.7364162282447184,0.7240838234937861,6000.0,-28.458675,3.550340497377135,-40.6,-30.7,-28.4,-25.7,-20.2,-28.4,12.604917647316222,-7.23289224516586,0.0989657663932979,-0.42850901867440516
A00001_close_2021Y03M01D18H05m,6000.0,2.6084833333333295,4.5310872101981685,-7.3,-0.6,1.3,5.8,17.2,1.3,20.53075130642145,10.252319797512547,-0.03807604029605871,0.7758136654262167,6000.0,-12.402708333333301,4.396324223051693,-22.9,-15.7,-12.3,-9.7,1.3,-12.3,19.327666674191065,10.252319797512547,0.0970077346182534,0.32344182290931855
A00001_close_2021Y03M04D17H59m,6000.0,-12.935316666666669,6.1621964301588354,-28.5,-17.2,-13.0,-9.2,11.1,-13.0,37.972664843862866,2.3456625795965986,1.1335556627718129,0.44222629953366255,6000.0,-41.886149999999866,3.935260269630376,-51.2,-45.0,-41.5,-39.2,-31.2,-41.5,15.48627338973163,2.3456625795965986,-0.42211686777989366,0.04414558969157435
A00001_open_2021Y02M15D18H20m,6000.0,-12.812624999999981,4.260288648585865,-25.4,-15.5,-12.6,-9.4,-2.8,-12.6,18.15005936926988,4.858359307801298,-0.36485783930660887,-0.33788985850989894,6000.0,-29.268349999999923,15.080958634308375,-54.0,-42.4,-32.5,-13.0,-2.4,-32.5,227.4353133297216,4.858359307801298,-1.3385588455837807,0.24765546979443903
A00001_open_2021Y02M16D18H14m,6000.0,10.506125000000015,3.9397212001482127,0.0999999999999999,7.7,10.625,13.4,22.0,10.625,15.521403134897483,7.535306799049841,-0.4660348586787766,-0.00511426838803451,6000.0,-26.038516666666652,4.017799180077433,-35.1,-28.2,-26.6,-24.3,-12.4,-26.6,16.14271025143079,7.535306799049841,1.312298136440555,0.8650791579376002
A00001_open_2021Y02M18D18H09m,6000.0,-1.804983333333351,7.102602407299578,-26.6,-4.9,-1.9,2.8,12.9,-1.9,50.44696095617786,21.515034637671096,0.9562060615937384,-0.6770581182798845,6000.0,-39.829858333333405,8.171794608262982,-58.5,-43.7,-40.5,-35.0,-21.2,-40.5,66.7782271196357,21.515034637671096,-0.46905653944100534,0.054128177177095414
A00001_open_2021Y02M19D18H07m,6000.0,3.236066666666672,4.6090793329693645,-10.6,0.2,3.5,6.3,15.1,3.5,21.243612297605157,2.8205724298494204,-0.167111712480553,-0.22874186272621633,6000.0,-39.41726666666679,3.1494032480813634,-48.2,-41.6,-39.25,-37.6,-26.1,-39.25,9.918740819025398,2.8205724298494204,0.6658715179476076,0.23855637070999428
A00001_open_2021Y02M23D17H56m,6000.0,-8.845033333333342,4.040702802484328,-21.2,-11.5,-9.3,-6.0,10.4,-9.3,16.32727913800448,11.776482466707414,-0.06638371863223513,0.07689679974105988,6000.0,-31.43813333333324,8.55746297899804,-52.7,-38.1,-31.7,-23.7,-15.5,-31.7,73.23017263692097,11.776482466707414,-1.0077737873004153,-0.18422434810610624
A00001_open_2021Y02M26D20H17m,6000.0,-7.983599999999972,5.117262087146308,-21.1,-11.0,-8.3,-4.4,7.4,-8.3,26.186371268544764,2.75406927154526,-0.16533808707520903,-0.04043234069901748,6000.0,-22.387566666666626,7.395216885551945,-43.3,-27.9,-23.2,-16.6,-3.0,-23.2,54.68923278435293,2.75406927154526,-0.5447234321694907,0.06160795752439163
A00001_open_2021Y03M01D18H06m,6000.0,2.645875,4.7484388130258415,-7.8,-0.5,2.7,5.824999999999999,18.9,2.7,22.547671161049987,2.952688471573966,-0.18104327439070245,0.1773629669627369,6000.0,-28.74117500000005,5.165471099614404,-42.6,-31.2,-28.1,-25.2,-17.5,-28.1,26.68209168095146,2.952688471573966,-0.010043531826105845,-0.5509274344907571
A00001_open_2021Y03M04D17H58m,6000.0,-11.368091666666658,5.234071935542698,-21.9,-15.7,-11.8,-6.9,3.9,-11.8,27.395509026434958,6.4775622710035,-0.9427186586258198,0.16104439793126993,6000.0,-29.272974999999857,3.574296224194515,-40.4,-31.7,-29.7,-26.7,-18.4,-29.7,12.77559349829138,6.4775622710035,-0.2604702319456971,0.18099536454873763
A00002_close_2021Y02M19D18H09m,6000.0,-8.28998333333331,2.6702532105445624,-14.7,-10.2,-8.5,-6.7,2.9,-8.5,7.130252208423627,-0.128271900872368,1.023875546662742,0.6140952705806958,6000.0,-16.593666666666653,2.4302158780153436,-23.6,-18.3,-16.5,-15.1,-9.2,-16.5,5.905949213757848,-0.128271900872368,0.03461182466851431,0.09204011491298356
A00002_close_2021Y02M26D20H07m,6000.0,-5.786408333333328,3.0404257730474025,-17.6,-8.125,-5.7,-3.3,4.100000000000001,-5.7,9.244188881410789,4.70874006785853,-0.48888227280507257,-0.17726545883372866,6000.0,-26.75225833333343,3.4143907451585127,-34.9,-28.8,-27.3,-25.1,-14.6,-27.3,11.65806416062399,4.70874006785853,1.117449298713158,0.9484016174093292
A00002_close_2021Y03M04D17H52m,6000.0,-7.6453499999999925,2.18937071853776,-14.6,-9.1,-7.8,-6.4,2.0,-7.8,4.793344143190532,-1.096971244790797,0.8235232007839643,0.5035201146308618,6000.0,-15.45047499999998,3.764126305069364,-23.9,-18.5,-15.5,-12.6,-5.1,-15.5,14.168646840515084,-1.096971244790797,-0.7231101405084481,0.09410133634878702
A00002_close_2021Y03M11D18H06m,6000.0,-6.545099999999992,3.0424185227661265,-16.4,-8.5,-6.2,-4.3,1.3,-6.2,9.256310467670538,3.071958995388118,-0.058116647563408286,-0.38001564253374964,6000.0,-24.703866666666762,5.563089584786631,-35.5,-28.5,-26.3,-21.7,-4.4,-26.3,30.947965728362124,3.071958995388118,0.42958543578588104,0.9605225816323804
A00002_close_2021Y03M12D17H19m,6000.0,-5.723541666666644,2.8355862124956706,-15.5,-7.2,-6.0,-3.9,3.3,-6.0,8.040549168495673,0.7042047430358768,1.285958595129367,-0.1442379245263683,6000.0,-9.13904166666663,2.09795392211072,-15.2,-10.7,-9.1,-7.6,-4.0,-9.1,4.401410659299698,0.7042047430358768,-0.5257729108739584,-0.08663180879849092
A00002_close_2021Y03M17D18H19m,6000.0,-1.9023666666666623,2.3863604124744637,-10.4,-3.4,-2.1,-0.6,7.8,-2.1,5.6947160182252565,3.3246473517808544,1.4318596491523232,0.5448050505911853,6000.0,-8.84651666666666,3.6325571266352448,-16.1,-11.4,-9.6,-6.6,3.5,-9.6,13.1954712782686,3.3246473517808544,-0.11564213175536331,0.6273550042335028
A00002_close_2021Y03M19D18H22m,6000.0,-0.6022499999999978,2.578962578738607,-8.5,-2.1,-0.6000000000000001,0.8,10.2,-0.6000000000000001,6.651047982534127,-0.5760603545035278,1.1196900337732236,0.24425594679641166,6000.0,-15.222733333333393,2.9499911474755027,-22.8,-17.4,-15.5,-13.4,-6.7,-15.5,8.702447770183916,-0.5760603545035278,-0.16052396049497597,0.3989147989385139
A00002_close_2021Y03M26D18H14m,6000.0,-5.902091666666647,2.557508458738037,-14.0,-7.8,-6.0,-4.0,3.2,-6.0,6.5408495165166425,7.027965859240429,-0.16960498711847505,0.06578915240312438,6000.0,-19.48329166666667,4.581428124745386,-27.1,-22.9,-20.3,-17.5,-2.1,-20.3,20.98948366220759,7.027965859240429,0.6449493957969232,1.0017480644285242
A00002_open_2021Y02M19D18H11m,6000.0,-5.467441666666666,2.026878822987754,-11.8,-6.8,-5.4,-4.0,-0.0999999999999999,-5.4,4.108237763076254,0.17636707900390944,-0.2269485472733468,-0.19340319579153112,6000.0,-19.813083333333303,4.310517835827085,-28.3,-23.0,-20.2,-16.9,-10.5,-20.2,18.580564012983647,0.17636707900390944,-0.9083287376159861,0.21109299731559192
A00002_open_2021Y02M26D20H06m,6000.0,-4.627066666666688,2.596870491883285,-12.8,-6.3,-4.6,-2.7,1.8,-4.6,6.743736351614155,4.432434056787245,-0.40536986572084244,-0.15242830915089006,6000.0,-18.83260833333339,6.967667664198018,-31.9,-24.5,-20.2,-14.8,-1.0,-20.2,48.54839267871035,4.432434056787245,-0.5335691004710967,0.6347754656608203
A00002_open_2021Y03M04D17H50m,6000.0,-5.440416666666644,2.1330039805610976,-11.8,-7.0,-5.5,-3.9,1.9,-5.5,4.549705981089439,4.709107810792539,-0.3845150960273207,0.08549851649996658,6000.0,-3.8689416666666645,5.695307086510621,-13.8,-9.0,-5.5,0.7,9.7,-5.5,32.436522809658086,4.709107810792539,-1.196396692244902,0.25497073036369466
A00002_open_2021Y03M11D18H07m,6000.0,-6.312008333333334,2.383299967772964,-13.7,-7.9,-6.4,-4.7,2.5,-6.4,5.680118736386619,1.525827888953715,0.09477324342343518,0.11177459292601077,6000.0,-6.467883333333321,2.447610975278407,-13.3,-8.1,-6.6,-5.0,1.2,-6.6,5.990799486303271,1.525827888953715,0.165810812694132,0.24055939671210974
A00002_open_2021Y03M12D17H18m,6000.0,-5.018466666666643,2.3985694357495335,-16.6,-6.6,-5.4,-4.1,3.2,-5.4,5.753135338111907,10.644736198810914,1.0676438162888724,1.0190836865873358,6000.0,-13.393908333333304,6.392999430253054,-24.2,-18.3,-14.8,-9.2,3.8,-14.8,40.8704417152164,10.644736198810914,-0.40412552128362833,0.6876605819917457
A00002_open_2021Y03M17D18H20m,6000.0,-5.386308333333333,2.4839565210836456,-10.5,-7.1,-6.1,-4.2,8.0,-6.1,6.170039998634028,14.992024309398786,0.4808256286820556,1.015371077643952,6000.0,-16.23232500000001,7.371695078186752,-27.0,-21.8,-18.7,-12.3,1.8,-18.7,54.341888325762625,14.992024309398786,-0.2410260056474791,0.9218503019969259
A00002_open_2021Y03M19D18H23m,6000.0,4.327833333333338,2.0498439845475893,-0.9,2.9,4.0,5.4,13.1,4.0,4.201860360986091,2.385344336556093,1.3436067481098766,0.866138307051571,6000.0,-14.857441666666656,2.7243315223441167,-20.3,-16.7,-15.4,-13.6,-5.2,-15.4,7.421982243637829,2.385344336556093,1.0980906765014327,1.0330855641016694
