id_index,file,path,ext,name,eye_state,datetime,year,month,day,hour,minute,week,id_user
A00000_close_2021Y05M11D14H37m,abe_C210511143701,./domain\abe_C210511143701.csv,.csv,abe,close,2021-05-11 14:37:01,2021,5,11,14,37,tue,A00000
A00000_close_2021Y05M13D11H01m,abe_C210513110139,./domain\abe_C210513110139.csv,.csv,abe,close,2021-05-13 11:01:39,2021,5,13,11,1,thu,A00000
A00000_close_2021Y05M13D14H45m,abe_C210513144536,./domain\abe_C210513144536.csv,.csv,abe,close,2021-05-13 14:45:36,2021,5,13,14,45,thu,A00000
A00000_close_2021Y05M13D18H24m,abe_C210513182428,./domain\abe_C210513182428.csv,.csv,abe,close,2021-05-13 18:24:28,2021,5,13,18,24,thu,A00000
A00000_close_2021Y05M14D14H15m,abe_C210514141559,./domain\abe_C210514141559.csv,.csv,abe,close,2021-05-14 14:15:59,2021,5,14,14,15,fri,A00000
A00000_close_2021Y05M14D18H24m,abe_C210514182456,./domain\abe_C210514182456.csv,.csv,abe,close,2021-05-14 18:24:56,2021,5,14,18,24,fri,A00000
A00000_close_2021Y05M17D14H52m,abe_C210517145228,./domain\abe_C210517145228.csv,.csv,abe,close,2021-05-17 14:52:28,2021,5,17,14,52,mon,A00000
A00000_close_2021Y05M18D14H14m,abe_C210518141424,./domain\abe_C210518141424.csv,.csv,abe,close,2021-05-18 14:14:24,2021,5,18,14,14,tue,A00000
A00000_close_2021Y05M18D18H15m,abe_C210518181550,./domain\abe_C210518181550.csv,.csv,abe,close,2021-05-18 18:15:50,2021,5,18,18,15,tue,A00000
A00000_close_2021Y05M20D14H51m,abe_C210520145124,./domain\abe_C210520145124.csv,.csv,abe,close,2021-05-20 14:51:24,2021,5,20,14,51,thu,A00000
A00000_close_2021Y05M20D19H37m,abe_C210520193745,./domain\abe_C210520193745.csv,.csv,abe,close,2021-05-20 19:37:45,2021,5,20,19,37,thu,A00000
A00000_close_2021Y06M01D18H36m,abe_C210601183616,./domain\abe_C210601183616.csv,.csv,abe,close,2021-06-01 18:36:16,2021,6,1,18,36,tue,A00000
A00000_close_2021Y06M15D18H42m,abe_C210615184251,./domain\abe_C210615184251.csv,.csv,abe,close,2021-06-15 18:42:51,2021,6,15,18,42,tue,A00000
A00000_close_2021Y06M28D17H49m,abe_C210628174930,./domain\abe_C210628174930.csv,.csv,abe,close,2021-06-28 17:49:30,2021,6,28,17,49,mon,A00000
A00000_close_2021Y07M05D18H46m,abe_C210705184600,./domain\abe_C210705184600.csv,.csv,abe,close,2021-07-05 18:46:00,2021,7,5,18,46,mon,A00000
A00000_close_2021Y07M12D19H10m,abe_C210712191046,./domain\abe_C210712191046.csv,.csv,abe,close,2021-07-12 19:10:46,2021,7,12,19,10,mon,A00000
A00000_open_2021Y05M11D14H35m,abe_O210511143550,./domain\abe_O210511143550.csv,.csv,abe,open,2021-05-11 14:35:50,2021,5,11,14,35,tue,A00000
A00000_open_2021Y05M13D11H00m,abe_O210513110028,./domain\abe_O210513110028.csv,.csv,abe,open,2021-05-13 11:00:28,2021,5,13,11,0,thu,A00000
A00000_open_2021Y05M13D14H44m,abe_O210513144408,./domain\abe_O210513144408.csv,.csv,abe,open,2021-05-13 14:44:08,2021,5,13,14,44,thu,A00000
A00000_open_2021Y05M13D18H23m,abe_O210513182317,./domain\abe_O210513182317.csv,.csv,abe,open,2021-05-13 18:23:17,2021,5,13,18,23,thu,A00000
A00000_open_2021Y05M14D14H17m,abe_O210514141736,./domain\abe_O210514141736.csv,.csv,abe,open,2021-05-14 14:17:36,2021,5,14,14,17,fri,A00000
A00000_open_2021Y05M14D18H26m,abe_O210514182606,./domain\abe_O210514182606.csv,.csv,abe,open,2021-05-14 18:26:06,2021,5,14,18,26,fri,A00000
A00000_open_2021Y05M17D14H51m,abe_O210517145113,./domain\abe_O210517145113.csv,.csv,abe,open,2021-05-17 14:51:13,2021,5,17,14,51,mon,A00000
A00000_open_2021Y05M18D14H15m,abe_O210518141538,./domain\abe_O210518141538.csv,.csv,abe,open,2021-05-18 14:15:38,2021,5,18,14,15,tue,A00000
A00000_open_2021Y05M18D18H17m,abe_O210518181700,./domain\abe_O210518181700.csv,.csv,abe,open,2021-05-18 18:17:00,2021,5,18,18,17,tue,A00000
A00000_open_2021Y05M20D14H52m,abe_O210520145239,./domain\abe_O210520145239.csv,.csv,abe,open,2021-05-20 14:52:39,2021,5,20,14,52,thu,A00000
A00000_open_2021Y05M20D19H39m,abe_O210520193904,./domain\abe_O210520193904.csv,.csv,abe,open,2021-05-20 19:39:04,2021,5,20,19,39,thu,A00000
A00000_open_2021Y06M01D18H34m,abe_O210601183451,./domain\abe_O210601183451.csv,.csv,abe,open,2021-06-01 18:34:51,2021,6,1,18,34,tue,A00000
A00000_open_2021Y06M15D18H44m,abe_O210615184410,./domain\abe_O210615184410.csv,.csv,abe,open,2021-06-15 18:44:10,2021,6,15,18,44,tue,A00000
A00000_open_2021Y06M28D17H48m,abe_O210628174819,./domain\abe_O210628174819.csv,.csv,abe,open,2021-06-28 17:48:19,2021,6,28,17,48,mon,A00000
A00000_open_2021Y07M05D18H44m,abe_O210705184441,./domain\abe_O210705184441.csv,.csv,abe,open,2021-07-05 18:44:41,2021,7,5,18,44,mon,A00000
A00000_open_2021Y07M12D19H09m,abe_O210712190928,./domain\abe_O210712190928.csv,.csv,abe,open,2021-07-12 19:09:28,2021,7,12,19,9,mon,A00000
A00001_close_2021Y04M26D14H49m,himei_C210426144925,./domain\himei_C210426144925.csv,.csv,himei,close,2021-04-26 14:49:25,2021,4,26,14,49,mon,A00001
A00001_close_2021Y04M26D18H13m,himei_C210426181340,./domain\himei_C210426181340.csv,.csv,himei,close,2021-04-26 18:13:40,2021,4,26,18,13,mon,A00001
A00001_close_2021Y04M27D14H34m,himei_C210427143449,./domain\himei_C210427143449.csv,.csv,himei,close,2021-04-27 14:34:49,2021,4,27,14,34,tue,A00001
A00001_close_2021Y04M27D18H22m,himei_C210427182215,./domain\himei_C210427182215.csv,.csv,himei,close,2021-04-27 18:22:15,2021,4,27,18,22,tue,A00001
A00001_close_2021Y05M06D19H00m,himei_C210506190028,./domain\himei_C210506190028.csv,.csv,himei,close,2021-05-06 19:00:28,2021,5,6,19,0,thu,A00001
A00001_close_2021Y05M11D14H40m,himei_C210511144005,./domain\himei_C210511144005.csv,.csv,himei,close,2021-05-11 14:40:05,2021,5,11,14,40,tue,A00001
A00001_close_2021Y05M11D18H49m,himei_C210511184900,./domain\himei_C210511184900.csv,.csv,himei,close,2021-05-11 18:49:00,2021,5,11,18,49,tue,A00001
A00001_close_2021Y05M13D18H31m,himei_C210513183149,./domain\himei_C210513183149.csv,.csv,himei,close,2021-05-13 18:31:49,2021,5,13,18,31,thu,A00001
A00001_close_2021Y05M17D14H48m,himei_C210517144859,./domain\himei_C210517144859.csv,.csv,himei,close,2021-05-17 14:48:59,2021,5,17,14,48,mon,A00001
A00001_close_2021Y05M18D14H28m,himei_C210518142850,./domain\himei_C210518142850.csv,.csv,himei,close,2021-05-18 14:28:50,2021,5,18,14,28,tue,A00001
A00001_close_2021Y06M01D18H25m,himei_C210601182509,./domain\himei_C210601182509.csv,.csv,himei,close,2021-06-01 18:25:09,2021,6,1,18,25,tue,A00001
A00001_close_2021Y06M15D18H30m,himei_C210615183008,./domain\himei_C210615183008.csv,.csv,himei,close,2021-06-15 18:30:08,2021,6,15,18,30,tue,A00001
A00001_close_2021Y06M28D17H38m,himei_C210628173816,./domain\himei_C210628173816.csv,.csv,himei,close,2021-06-28 17:38:16,2021,6,28,17,38,mon,A00001
A00001_close_2021Y07M05D18H48m,himei_C210705184850,./domain\himei_C210705184850.csv,.csv,himei,close,2021-07-05 18:48:50,2021,7,5,18,48,mon,A00001
A00001_close_2021Y07M12D18H58m,himei_C210712185817,./domain\himei_C210712185817.csv,.csv,himei,close,2021-07-12 18:58:17,2021,7,12,18,58,mon,A00001
A00001_close_2021Y07M19D18H03m,himei_C210719180301,./domain\himei_C210719180301.csv,.csv,himei,close,2021-07-19 18:03:01,2021,7,19,18,3,mon,A00001
A00001_open_2021Y04M26D14H50m,himei_O210426145037,./domain\himei_O210426145037.csv,.csv,himei,open,2021-04-26 14:50:37,2021,4,26,14,50,mon,A00001
A00001_open_2021Y04M26D18H14m,himei_O210426181451,./domain\himei_O210426181451.csv,.csv,himei,open,2021-04-26 18:14:51,2021,4,26,18,14,mon,A00001
A00001_open_2021Y04M27D14H33m,himei_O210427143337,./domain\himei_O210427143337.csv,.csv,himei,open,2021-04-27 14:33:37,2021,4,27,14,33,tue,A00001
A00001_open_2021Y04M27D18H20m,himei_O210427182045,./domain\himei_O210427182045.csv,.csv,himei,open,2021-04-27 18:20:45,2021,4,27,18,20,tue,A00001
A00001_open_2021Y05M06D19H01m,himei_O210506190140,./domain\himei_O210506190140.csv,.csv,himei,open,2021-05-06 19:01:40,2021,5,6,19,1,thu,A00001
A00001_open_2021Y05M11D14H38m,himei_O210511143852,./domain\himei_O210511143852.csv,.csv,himei,open,2021-05-11 14:38:52,2021,5,11,14,38,tue,A00001
A00001_open_2021Y05M11D18H47m,himei_O210511184748,./domain\himei_O210511184748.csv,.csv,himei,open,2021-05-11 18:47:48,2021,5,11,18,47,tue,A00001
A00001_open_2021Y05M13D18H30m,himei_O210513183036,./domain\himei_O210513183036.csv,.csv,himei,open,2021-05-13 18:30:36,2021,5,13,18,30,thu,A00001
A00001_open_2021Y05M17D14H47m,himei_O210517144743,./domain\himei_O210517144743.csv,.csv,himei,open,2021-05-17 14:47:43,2021,5,17,14,47,mon,A00001
A00001_open_2021Y05M18D14H30m,himei_O210518143004,./domain\himei_O210518143004.csv,.csv,himei,open,2021-05-18 14:30:04,2021,5,18,14,30,tue,A00001
A00001_open_2021Y06M01D18H23m,himei_O210601182359,./domain\himei_O210601182359.csv,.csv,himei,open,2021-06-01 18:23:59,2021,6,1,18,23,tue,A00001
A00001_open_2021Y06M15D18H31m,himei_O210615183119,./domain\himei_O210615183119.csv,.csv,himei,open,2021-06-15 18:31:19,2021,6,15,18,31,tue,A00001
A00001_open_2021Y06M28D17H37m,himei_O210628173705,./domain\himei_O210628173705.csv,.csv,himei,open,2021-06-28 17:37:05,2021,6,28,17,37,mon,A00001
A00001_open_2021Y07M05D18H47m,himei_O210705184731,./domain\himei_O210705184731.csv,.csv,himei,open,2021-07-05 18:47:31,2021,7,5,18,47,mon,A00001
A00001_open_2021Y07M12D18H56m,himei_O210712185621,./domain\himei_O210712185621.csv,.csv,himei,open,2021-07-12 18:56:21,2021,7,12,18,56,mon,A00001
A00001_open_2021Y07M19D18H01m,himei_O210719180148,./domain\himei_O210719180148.csv,.csv,himei,open,2021-07-19 18:01:48,2021,7,19,18,1,mon,A00001
A00002_close_2021Y05M06D19H10m,ideguchi_C210506191052,./domain\ideguchi_C210506191052.csv,.csv,ideguchi,close,2021-05-06 19:10:52,2021,5,6,19,10,thu,A00002
A00002_close_2021Y05M11D14H50m,ideguchi_C210511145025,./domain\ideguchi_C210511145025.csv,.csv,ideguchi,close,2021-05-11 14:50:25,2021,5,11,14,50,tue,A00002
A00002_close_2021Y05M11D18H43m,ideguchi_C210511184305,./domain\ideguchi_C210511184305.csv,.csv,ideguchi,close,2021-05-11 18:43:05,2021,5,11,18,43,tue,A00002
A00002_close_2021Y05M17D14H40m,ideguchi_C210517144033,./domain\ideguchi_C210517144033.csv,.csv,ideguchi,close,2021-05-17 14:40:33,2021,5,17,14,40,mon,A00002
A00002_close_2021Y05M17D18H17m,ideguchi_C210517181752,./domain\ideguchi_C210517181752.csv,.csv,ideguchi,close,2021-05-17 18:17:52,2021,5,17,18,17,mon,A00002
A00002_close_2021Y05M18D18H45m,ideguchi_C210518184522,./domain\ideguchi_C210518184522.csv,.csv,ideguchi,close,2021-05-18 18:45:22,2021,5,18,18,45,tue,A00002
A00002_close_2021Y05M20D14H48m,ideguchi_C210520144837,./domain\ideguchi_C210520144837.csv,.csv,ideguchi,close,2021-05-20 14:48:37,2021,5,20,14,48,thu,A00002
A00002_close_2021Y05M20D19H24m,ideguchi_C210520192447,./domain\ideguchi_C210520192447.csv,.csv,ideguchi,close,2021-05-20 19:24:47,2021,5,20,19,24,thu,A00002
A00002_close_2021Y06M01D18H12m,ideguchi_C210601181251,./domain\ideguchi_C210601181251.csv,.csv,ideguchi,close,2021-06-01 18:12:51,2021,6,1,18,12,tue,A00002
A00002_close_2021Y06M03D18H37m,ideguchi_C210603183759,./domain\ideguchi_C210603183759.csv,.csv,ideguchi,close,2021-06-03 18:37:59,2021,6,3,18,37,thu,A00002
A00002_close_2021Y06M15D18H34m,ideguchi_C210615183429,./domain\ideguchi_C210615183429.csv,.csv,ideguchi,close,2021-06-15 18:34:29,2021,6,15,18,34,tue,A00002
A00002_close_2021Y06M21D18H53m,ideguchi_C210621185332,./domain\ideguchi_C210621185332.csv,.csv,ideguchi,close,2021-06-21 18:53:32,2021,6,21,18,53,mon,A00002
A00002_close_2021Y06M28D17H41m,ideguchi_C210628174158,./domain\ideguchi_C210628174158.csv,.csv,ideguchi,close,2021-06-28 17:41:58,2021,6,28,17,41,mon,A00002
A00002_close_2021Y07M05D18H40m,ideguchi_C210705184045,./domain\ideguchi_C210705184045.csv,.csv,ideguchi,close,2021-07-05 18:40:45,2021,7,5,18,40,mon,A00002
A00002_close_2021Y07M12D19H07m,ideguchi_C210712190729,./domain\ideguchi_C210712190729.csv,.csv,ideguchi,close,2021-07-12 19:07:29,2021,7,12,19,7,mon,A00002
A00002_close_2021Y07M19D18H05m,ideguchi_C210719180545,./domain\ideguchi_C210719180545.csv,.csv,ideguchi,close,2021-07-19 18:05:45,2021,7,19,18,5,mon,A00002
A00002_open_2021Y05M06D19H12m,ideguchi_O210506191205,./domain\ideguchi_O210506191205.csv,.csv,ideguchi,open,2021-05-06 19:12:05,2021,5,6,19,12,thu,A00002
A00002_open_2021Y05M11D14H49m,ideguchi_O210511144909,./domain\ideguchi_O210511144909.csv,.csv,ideguchi,open,2021-05-11 14:49:09,2021,5,11,14,49,tue,A00002
A00002_open_2021Y05M11D18H41m,ideguchi_O210511184153,./domain\ideguchi_O210511184153.csv,.csv,ideguchi,open,2021-05-11 18:41:53,2021,5,11,18,41,tue,A00002
A00002_open_2021Y05M17D14H39m,ideguchi_O210517143922,./domain\ideguchi_O210517143922.csv,.csv,ideguchi,open,2021-05-17 14:39:22,2021,5,17,14,39,mon,A00002
A00002_open_2021Y05M17D18H16m,ideguchi_O210517181632,./domain\ideguchi_O210517181632.csv,.csv,ideguchi,open,2021-05-17 18:16:32,2021,5,17,18,16,mon,A00002
A00002_open_2021Y05M18D18H46m,ideguchi_O210518184635,./domain\ideguchi_O210518184635.csv,.csv,ideguchi,open,2021-05-18 18:46:35,2021,5,18,18,46,tue,A00002
A00002_open_2021Y05M20D14H49m,ideguchi_O210520144947,./domain\ideguchi_O210520144947.csv,.csv,ideguchi,open,2021-05-20 14:49:47,2021,5,20,14,49,thu,A00002
A00002_open_2021Y05M20D19H26m,ideguchi_O210520192606,./domain\ideguchi_O210520192606.csv,.csv,ideguchi,open,2021-05-20 19:26:06,2021,5,20,19,26,thu,A00002
A00002_open_2021Y06M01D18H11m,ideguchi_O210601181140,./domain\ideguchi_O210601181140.csv,.csv,ideguchi,open,2021-06-01 18:11:40,2021,6,1,18,11,tue,A00002
A00002_open_2021Y06M03D18H36m,ideguchi_O210603183641,./domain\ideguchi_O210603183641.csv,.csv,ideguchi,open,2021-06-03 18:36:41,2021,6,3,18,36,thu,A00002
A00002_open_2021Y06M15D18H35m,ideguchi_O210615183545,./domain\ideguchi_O210615183545.csv,.csv,ideguchi,open,2021-06-15 18:35:45,2021,6,15,18,35,tue,A00002
A00002_open_2021Y06M21D18H52m,ideguchi_O210621185216,./domain\ideguchi_O210621185216.csv,.csv,ideguchi,open,2021-06-21 18:52:16,2021,6,21,18,52,mon,A00002
A00002_open_2021Y06M28D17H40m,ideguchi_O210628174039,./domain\ideguchi_O210628174039.csv,.csv,ideguchi,open,2021-06-28 17:40:39,2021,6,28,17,40,mon,A00002
A00002_open_2021Y07M05D18H39m,ideguchi_O210705183930,./domain\ideguchi_O210705183930.csv,.csv,ideguchi,open,2021-07-05 18:39:30,2021,7,5,18,39,mon,A00002
A00002_open_2021Y07M12D19H06m,ideguchi_O210712190617,./domain\ideguchi_O210712190617.csv,.csv,ideguchi,open,2021-07-12 19:06:17,2021,7,12,19,6,mon,A00002
A00002_open_2021Y07M19D18H04m,ideguchi_O210719180430,./domain\ideguchi_O210719180430.csv,.csv,ideguchi,open,2021-07-19 18:04:30,2021,7,19,18,4,mon,A00002
A00003_close_2021Y05M06D10H56m,inoue_C210506105616,./domain\inoue_C210506105616.csv,.csv,inoue,close,2021-05-06 10:56:16,2021,5,6,10,56,thu,A00003
A00003_close_2021Y05M06D19H07m,inoue_C210506190703,./domain\inoue_C210506190703.csv,.csv,inoue,close,2021-05-06 19:07:03,2021,5,6,19,7,thu,A00003
A00003_close_2021Y05M11D18H45m,inoue_C210511184555,./domain\inoue_C210511184555.csv,.csv,inoue,close,2021-05-11 18:45:55,2021,5,11,18,45,tue,A00003
A00003_close_2021Y05M13D18H35m,inoue_C210513183514,./domain\inoue_C210513183514.csv,.csv,inoue,close,2021-05-13 18:35:14,2021,5,13,18,35,thu,A00003
A00003_close_2021Y05M17D14H46m,inoue_C210517144608,./domain\inoue_C210517144608.csv,.csv,inoue,close,2021-05-17 14:46:08,2021,5,17,14,46,mon,A00003
A00003_close_2021Y05M17D18H14m,inoue_C210517181415,./domain\inoue_C210517181415.csv,.csv,inoue,close,2021-05-17 18:14:15,2021,5,17,18,14,mon,A00003
A00003_close_2021Y05M18D18H42m,inoue_C210518184202,./domain\inoue_C210518184202.csv,.csv,inoue,close,2021-05-18 18:42:02,2021,5,18,18,42,tue,A00003
A00003_close_2021Y05M20D18H09m,inoue_C210520180925,./domain\inoue_C210520180925.csv,.csv,inoue,close,2021-05-20 18:09:25,2021,5,20,18,9,thu,A00003
A00003_close_2021Y06M01D18H16m,inoue_C210601181613,./domain\inoue_C210601181613.csv,.csv,inoue,close,2021-06-01 18:16:13,2021,6,1,18,16,tue,A00003
A00003_close_2021Y06M03D18H41m,inoue_C210603184146,./domain\inoue_C210603184146.csv,.csv,inoue,close,2021-06-03 18:41:46,2021,6,3,18,41,thu,A00003
A00003_close_2021Y06M15D18H15m,inoue_C210615181537,./domain\inoue_C210615181537.csv,.csv,inoue,close,2021-06-15 18:15:37,2021,6,15,18,15,tue,A00003
A00003_close_2021Y06M21D18H39m,inoue_C210621183951,./domain\inoue_C210621183951.csv,.csv,inoue,close,2021-06-21 18:39:51,2021,6,21,18,39,mon,A00003
A00003_close_2021Y06M28D17H52m,inoue_C210628175214,./domain\inoue_C210628175214.csv,.csv,inoue,close,2021-06-28 17:52:14,2021,6,28,17,52,mon,A00003
A00003_close_2021Y07M05D18H43m,inoue_C210705184316,./domain\inoue_C210705184316.csv,.csv,inoue,close,2021-07-05 18:43:16,2021,7,5,18,43,mon,A00003
A00003_close_2021Y07M12D18H49m,inoue_C210712184956,./domain\inoue_C210712184956.csv,.csv,inoue,close,2021-07-12 18:49:56,2021,7,12,18,49,mon,A00003
A00003_close_2021Y07M19D18H14m,inoue_C210719181403,./domain\inoue_C210719181403.csv,.csv,inoue,close,2021-07-19 18:14:03,2021,7,19,18,14,mon,A00003
A00003_open_2021Y05M06D10H57m,inoue_O210506105734,./domain\inoue_O210506105734.csv,.csv,inoue,open,2021-05-06 10:57:34,2021,5,6,10,57,thu,A00003
A00003_open_2021Y05M06D19H09m,inoue_O210506190911,./domain\inoue_O210506190911.csv,.csv,inoue,open,2021-05-06 19:09:11,2021,5,6,19,9,thu,A00003
A00003_open_2021Y05M11D18H44m,inoue_O210511184444,./domain\inoue_O210511184444.csv,.csv,inoue,open,2021-05-11 18:44:44,2021,5,11,18,44,tue,A00003
A00003_open_2021Y05M13D18H33m,inoue_O210513183355,./domain\inoue_O210513183355.csv,.csv,inoue,open,2021-05-13 18:33:55,2021,5,13,18,33,thu,A00003
A00003_open_2021Y05M17D14H44m,inoue_O210517144452,./domain\inoue_O210517144452.csv,.csv,inoue,open,2021-05-17 14:44:52,2021,5,17,14,44,mon,A00003
A00003_open_2021Y05M17D18H13m,inoue_O210517181302,./domain\inoue_O210517181302.csv,.csv,inoue,open,2021-05-17 18:13:02,2021,5,17,18,13,mon,A00003
A00003_open_2021Y05M18D18H43m,inoue_O210518184314,./domain\inoue_O210518184314.csv,.csv,inoue,open,2021-05-18 18:43:14,2021,5,18,18,43,tue,A00003
A00003_open_2021Y05M20D18H10m,inoue_O210520181036,./domain\inoue_O210520181036.csv,.csv,inoue,open,2021-05-20 18:10:36,2021,5,20,18,10,thu,A00003
A00003_open_2021Y06M01D18H15m,inoue_O210601181500,./domain\inoue_O210601181500.csv,.csv,inoue,open,2021-06-01 18:15:00,2021,6,1,18,15,tue,A00003
A00003_open_2021Y06M03D18H40m,inoue_O210603184035,./domain\inoue_O210603184035.csv,.csv,inoue,open,2021-06-03 18:40:35,2021,6,3,18,40,thu,A00003
A00003_open_2021Y06M15D18H16m,inoue_O210615181648,./domain\inoue_O210615181648.csv,.csv,inoue,open,2021-06-15 18:16:48,2021,6,15,18,16,tue,A00003
A00003_open_2021Y06M21D18H38m,inoue_O210621183840,./domain\inoue_O210621183840.csv,.csv,inoue,open,2021-06-21 18:38:40,2021,6,21,18,38,mon,A00003
A00003_open_2021Y06M28D17H51m,inoue_O210628175102,./domain\inoue_O210628175102.csv,.csv,inoue,open,2021-06-28 17:51:02,2021,6,28,17,51,mon,A00003
A00003_open_2021Y07M05D18H42m,inoue_O210705184204,./domain\inoue_O210705184204.csv,.csv,inoue,open,2021-07-05 18:42:04,2021,7,5,18,42,mon,A00003
A00003_open_2021Y07M12D18H48m,inoue_O210712184843,./domain\inoue_O210712184843.csv,.csv,inoue,open,2021-07-12 18:48:43,2021,7,12,18,48,mon,A00003
A00003_open_2021Y07M19D18H12m,inoue_O210719181250,./domain\inoue_O210719181250.csv,.csv,inoue,open,2021-07-19 18:12:50,2021,7,19,18,12,mon,A00003
A00004_close_2021Y04M27D18H15m,maeta_C210427181506,./domain\maeta_C210427181506.csv,.csv,maeta,close,2021-04-27 18:15:06,2021,4,27,18,15,tue,A00004
A00004_close_2021Y05M01D18H14m,maeta_C210501181416,./domain\maeta_C210501181416.csv,.csv,maeta,close,2021-05-01 18:14:16,2021,5,1,18,14,sat,A00004
A00004_close_2021Y05M06D10H59m,maeta_C210506105903,./domain\maeta_C210506105903.csv,.csv,maeta,close,2021-05-06 10:59:03,2021,5,6,10,59,thu,A00004
A00004_close_2021Y05M06D18H55m,maeta_C210506185559,./domain\maeta_C210506185559.csv,.csv,maeta,close,2021-05-06 18:55:59,2021,5,6,18,55,thu,A00004
A00004_close_2021Y05M07D18H17m,maeta_C210507181710,./domain\maeta_C210507181710.csv,.csv,maeta,close,2021-05-07 18:17:10,2021,5,7,18,17,fri,A00004
A00004_close_2021Y05M11D11H04m,maeta_C210511110402,./domain\maeta_C210511110402.csv,.csv,maeta,close,2021-05-11 11:04:02,2021,5,11,11,4,tue,A00004
A00004_close_2021Y05M11D18H39m,maeta_C210511183940,./domain\maeta_C210511183940.csv,.csv,maeta,close,2021-05-11 18:39:40,2021,5,11,18,39,tue,A00004
A00004_close_2021Y05M13D10H58m,maeta_C210513105836,./domain\maeta_C210513105836.csv,.csv,maeta,close,2021-05-13 10:58:36,2021,5,13,10,58,thu,A00004
A00004_close_2021Y05M14D14H43m,maeta_C210514144302,./domain\maeta_C210514144302.csv,.csv,maeta,close,2021-05-14 14:43:02,2021,5,14,14,43,fri,A00004
A00004_close_2021Y05M14D18H10m,maeta_C210514181035,./domain\maeta_C210514181035.csv,.csv,maeta,close,2021-05-14 18:10:35,2021,5,14,18,10,fri,A00004
A00004_close_2021Y05M17D15H16m,maeta_C210517151627,./domain\maeta_C210517151627.csv,.csv,maeta,close,2021-05-17 15:16:27,2021,5,17,15,16,mon,A00004
A00004_close_2021Y05M17D18H36m,maeta_C210517183602,./domain\maeta_C210517183602.csv,.csv,maeta,close,2021-05-17 18:36:02,2021,5,17,18,36,mon,A00004
A00004_close_2021Y05M20D19H27m,maeta_C210520192755,./domain\maeta_C210520192755.csv,.csv,maeta,close,2021-05-20 19:27:55,2021,5,20,19,27,thu,A00004
A00004_close_2021Y06M28D17H58m,maeta_C210628175801,./domain\maeta_C210628175801.csv,.csv,maeta,close,2021-06-28 17:58:01,2021,6,28,17,58,mon,A00004
A00004_close_2021Y07M05D18H35m,maeta_C210705183506,./domain\maeta_C210705183506.csv,.csv,maeta,close,2021-07-05 18:35:06,2021,7,5,18,35,mon,A00004
A00004_close_2021Y07M12D19H04m,maeta_C210712190437,./domain\maeta_C210712190437.csv,.csv,maeta,close,2021-07-12 19:04:37,2021,7,12,19,4,mon,A00004
A00004_open_2021Y04M27D18H13m,maeta_O210427181352,./domain\maeta_O210427181352.csv,.csv,maeta,open,2021-04-27 18:13:52,2021,4,27,18,13,tue,A00004
A00004_open_2021Y05M01D18H13m,maeta_O210501181302,./domain\maeta_O210501181302.csv,.csv,maeta,open,2021-05-01 18:13:02,2021,5,1,18,13,sat,A00004
A00004_open_2021Y05M06D11H00m,maeta_O210506110015,./domain\maeta_O210506110015.csv,.csv,maeta,open,2021-05-06 11:00:15,2021,5,6,11,0,thu,A00004
